TeamName,Win,Tie,Lose,GoalDifference,TranScore(W*1+T*0.5*L*0)
Liverpool,27,1,1,45,27.5
Man City,18,3,7,37,19.5
Leicester,16,5,8,30,18.5
Chelsea,14,6,9,12,17.0
Man United,12,9,8,14,16.5
Sheffield United,11,10,7,5,16.0
Tottenham,11,8,10,7,15.0
Burnley,11,6,12,-6,14.0
Wolves,10,13,6,7,16.5
Everton,10,7,12,-9,13.5
Southampton,10,4,15,-17,12.0
Crystal Palace,10,9,10,-6,14.5
Newcastle,9,8,12,-16,13.0
Arsenal,9,13,6,4,15.5
West Ham,7,6,16,-15,10.0
Bournemouth,7,6,16,-18,10.0
Aston Villa,7,4,17,-22,9.0
Brighton,6,11,12,-8,11.5
Watford,6,9,14,-17,10.5
Norwich,5,6,18,-27,8.0
